Symbol,Name,Country,Sector,Industry
ABST,Absolute Software Corporation Common Stock,Canada,Technology,Computer Software: Prepackaged Software
ABT,Abbott Laboratories Common Stock,United States,Health Care,Major Pharmaceuticals
ABTX,Allegiance Bancshares Inc. Common Stock,United States,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,Health Care,Major Pharmaceuticals
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,,Capital Goods,Metal Fabrications
ACAC,Acies Acquisition Corp. Class A Ordinary Share,United States,Technology,Computer Software: Prepackaged Software
ACACU,Acies Acquisition Corp. Unit,United States,Technology,Computer Software: Prepackaged Software
ACACW,Acies Acquisition Corp. Warrant,United States,Technology,Computer Software: Prepackaged Software
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States,Finance,Business Services
ACB,Aurora Cannabis Inc. Common Shares,,Consumer Durables,Specialty Chemicals
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,Finance,Major Banks
ACC,American Campus Communities Inc Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,United States,,
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Durables,Publishing
ACEL,Accel Entertainment Inc. ,United States,Consumer Services,Services-Misc. Amusement & Recreation
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,Health Care,Major Pharmaceuticals
ACET,Adicet Bio Inc. Common Stock ,United States,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,United States,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Bermuda,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American Depositary Shares,China,Basic Industries,Aluminum
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,Health Care,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A Common Stock,United States,Finance,Business Services
ACIU,AC Immune SA Common Stock,Switzerland,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States,Finance,Business Services
ACKIU,Ackrell SPAC Partners I Co. Units,United States,Finance,Business Services
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States,Finance,Business Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,Technology,Industrial Machinery/Components
ACM,AECOM Common Stock,United States,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Miscellaneous,Business Services
ACNB,ACNB Corporation Common Stock,United States,Finance,Major Banks
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services
ACOR,Acorda Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund Common Shares,United States,,
ACQRU,Independence Holdings Corp. Units,United States,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,Health Care,Major Pharmaceuticals
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,United States,Capital Goods,Auto Manufacturing
ACTCU,ArcLight Clean Transition Corp. Unit,United States,Capital Goods,Auto Manufacturing
ACTCW,ArcLight Clean Transition Corp. Warrant,United States,Capital Goods,Auto Manufacturing
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,United States,Capital Goods,Industrial Machinery/Components
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,,
ACY,AeroCentury Corp. Common Stock,United States,Technology,Diversified Commercial Services
ADAG,Adagene Inc. American Depositary Shares,China,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA Common Shares,,Health Care,Major Pharmaceuticals
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
ADERU,26 Capital Acquisition Corp. Unit,United States,Finance,Business Services
ADERW,26 Capital Acquisition Corp. Warrant,United States,Finance,Business Services
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,Basic Industries,Major Chemicals
ADEX,Adit EdTech Acquisition Corp. Common Stock,,Finance,Business Services
ADFI,Anfield Dynamic Fixed Income ETF,,,
ADI,Analog Devices Inc. Common Stock,United States,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,United States,Health Care,Major Pharmaceuticals
ADM,Archer-Daniels-Midland Company Common Stock,United States,Consumer Non-Durables,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADME,Aptus Drawdown Managed Equity ETF,United States,,
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,Health Care,Major Pharmaceuticals
ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,Miscellaneous,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,,Capital Goods,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,Miscellaneous,Industrial Machinery/Components
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,United States,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,United States,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,United States,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADS,Alliance Data Systems Corporation Common Stock,United States,Miscellaneous,Business Services
ADSK,Autodesk Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,Consumer Services,Diversified Commercial Services
ADTN,ADTRAN Inc. Common Stock,United States,Public Utilities,Telecommunications Equipment
ADTX,ADiTx Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation Common Stock,United States,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,Miscellaneous,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,Miscellaneous,Business Services
ADX,Adams Diversified Equity Fund Inc.,United States,,
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,Health Care,Major Pharmaceuticals
ADXS,Advaxis Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
AE,Adams Resources & Energy Inc. Common Stock,United States,Energy,Oil Refining/Marketing
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,United States,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,United States,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,United States,Finance,Business Services
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),Netherlands,Finance,Life Insurance
AEE,Ameren Corporation Common Stock,United States,Public Utilities,Power Generation
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,United States,,
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,Finance,Life Insurance
AEG,AEGON N.V. Common Stock,Netherlands,Finance,Life Insurance
AEGN,Aegion Corp Common Stock,United States,Basic Industries,Water Supply
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),China,Capital Goods,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,Capital Goods,Electrical Products
AEI,Alset EHome International Inc. Common Stock,United States,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company Common Stock,United States,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States,,
AEM,Agnico Eagle Mines Limited Common Stock,Canada,Basic Industries,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
AENZ,Aenza S.A.A. American Depositary Shares,,Basic Industries,Military/Government/Technical
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,United States,Public Utilities,Electric Utilities: Central
AEPPL,American Electric Power Company Inc. Corporate Unit,United States,Public Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,United States,Public Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Technology,Diversified Commercial Services
AERI,Aerie Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation Common Stock,United States,Basic Industries,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc. Common Stock,United States,Consumer Services,Services-Misc. Amusement & Recreation
AESR,Anfield U.S. Equity Sector Rotation ETF,,,
AEY,ADDvantage Technologies Group Inc. Common Stock,United States,Consumer Services,Office Equipment/Supplies/Services
AEYE,AudioEye Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
AEZS,Aeterna Zentaris Inc. Common Stock,Canada,Health Care,Major Pharmaceuticals
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,,
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,Finance,Savings Institutions
AFC,Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047,United States,,
AFG,American Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers
AFI,Armstrong Flooring Inc. Common Stock,,Consumer Non-Durables,Plastic Products
AFIB,Acutus Medical Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
AFIN,American Finance Trust Inc. Class A Common Stock,United States,Consumer Services,Real Estate Investment Trusts
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
AFL,AFLAC Incorporated Common Stock,United States,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Germany,Health Care,Major Pharmaceuticals
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,Miscellaneous,Business Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,,
AFYA,Afya Limited Class A Common Shares,Brazil,Consumer Services,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,Basic Industries,Precious Metals
AGBA,AGBA Acquisition Limited Ordinary Share,Hong Kong,Finance,Business Services
AGBAR,AGBA Acquisition Limited Right,Hong Kong,Finance,Business Services
AGBAU,AGBA Acquisition Limited Unit,Hong Kong,Finance,Business Services
AGBAW,AGBA Acquisition Limited Warrant,Hong Kong,Finance,Business Services
AGC,Altimeter Growth Corp. Class A Ordinary Shares,United States,Finance,Business Services
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,,Finance,Business Services
AGCO,AGCO Corporation Common Stock,United States,Capital Goods,Industrial Machinery/Components
AGCUU,Altimeter Growth Corp. Unit,United States,Finance,Business Services
AGCWW,Altimeter Growth Corp. Warrant,United States,Finance,Business Services
AGD,Aberdeen Global Dynamic Dividend Fund,United States,,
AGE,AgeX Therapeutics Inc. Common Stock,,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,United States,Basic Industries,Agricultural Chemicals
AGFY,Agrify Corporation Common Stock,United States,Consumer Non-Durables,Farming/Seeds/Milling
AGGRU,Agile Growth Corp. Units,United States,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,Canada,Basic Industries,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,Consumer Services,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,Bermuda,,
AGO^E,Assured Guaranty Ltd.,Bermuda,,
AGO^F,Assured Guaranty Ltd.,Bermuda,,
AGR,Avangrid Inc. Common Stock,United States,Public Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,Luxembourg,Consumer Non-Durables,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
AGS,PlayAGS Inc. Common Stock,United States,Consumer Durables,Miscellaneous manufacturing industries
AGTC,Applied Genetic Technologies Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGX,Argan Inc. Common Stock,United States,Basic Industries,Engineering & Construction
AGYS,Agilysys Inc. Common Stock,United States,Technology,EDP Services
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,United States,Finance,Business Services
AHACU,Alpha Healthcare Acquisition Corp. Unit,United States,Finance,Business Services
AHACW,Alpha Healthcare Acquisition Corp. Warrant,United States,Finance,Business Services
AHC,A.H. Belo Corporation (TX) Common Stock,United States,Consumer Services,Newspapers/Magazines
AHCO,AdaptHealth Corp. Class A Common Stock,United States,Health Care,Medical/Nursing Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,
AHPI,Allied Healthcare Products Inc. Common Stock,United States,Health Care,Industrial Specialties
AHT,Ashford Hospitality Trust Inc Common Stock,United States,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,
AI,C3.ai Inc. Class A Common Stock,,Technology,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,Consumer Services,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,,,
AIG,American International Group Inc. New Common Stock,United States,Finance,Property-Casualty Insurers
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States,,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,China,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,China,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AIM,AIM ImmunoTech Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altra Industrial Motion Corp. Common Stock,United States,Capital Goods,Industrial Machinery/Components
AIN,Albany International Corporation Common Stock,United States,Basic Industries,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,United States,Consumer Services,Professional Services
AINV,Apollo Investment Corporation Common Stock,United States,,
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,,,
AIR,AAR Corp. Common Stock,United States,Capital Goods,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,,Consumer Services,Real Estate Investment Trusts
AIRG,Airgain Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,United States,Capital Goods,Military/Government/Technical
AIRT,Air T Inc. Common Stock,United States,Transportation,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,Transportation,Air Freight/Delivery Services
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,United States,Transportation,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,United States,Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,United States,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,United States,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,Finance,Property-Casualty Insurers
AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,United States,Finance,Property-Casualty Insurers
AJAX,Ajax I Class A Ordinary Shares,United States,Finance,Business Services
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,Consumer Services,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,United States,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services
AKICU,Sports Ventures Acquisition Corp. Unit,United States,Finance,Business Services
AKICW,Sports Ventures Acquisition Corp. Warrant,United States,Finance,Business Services
AKO/A,Embotelladora Andina S.A.,Chile,,
AKO/B,Embotelladora Andina S.A.,Chile,,
AKR,Acadia Realty Trust Common Stock,United States,Consumer Services,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
AKTS,Akoustis Technologies Inc. Common Stock,United States,Public Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADR (0.01 USD),United Kingdom,Health Care,Major Pharmaceuticals
AKU,Akumin Inc. Common Shares,Canada,Health Care,Medical Specialities
AKUS,Akouos Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
AL,Air Lease Corporation Class A Common Stock,United States,Technology,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,
ALAC,Alberton Acquisition Corporation Ordinary Shares,Hong Kong,Basic Industries,Engineering & Construction
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Hong Kong,Basic Industries,Engineering & Construction
ALACW,Alberton Acquisition Corporation Warrant,Hong Kong,Basic Industries,Engineering & Construction
ALB,Albemarle Corporation Common Stock,United States,Basic Industries,Major Chemicals
ALBO,Albireo Pharma Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,Ophthalmic Goods
ALCO,Alico Inc. Common Stock,United States,Consumer Non-Durables,Farming/Seeds/Milling
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ALE,Allete Inc.,United States,Public Utilities,Power Generation
ALEC,Alector Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,Consumer Services,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,United States,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,United States,Transportation,Air Freight/Delivery Services
ALIM,Alimera Sciences Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ALIN^A,Altera Infrastructure L.P. 7.25% Series A ,Bermuda,,
ALIN^B,Altera Infrastructure L.P. 8.50% Series B ,Bermuda,,
ALIN^E,Altera Infrastructure L.P. 8.875% Series E ,Bermuda,,
